id,text,label
0,amar nam Nusrat Jahan amar phone 01955667788,1
1,Contact me at david@gmail.com,1
2,Contact me at rahim@gmail.com,1
3,amar email holo john@yahoo.com,1
4,Nusrat Jahan lives in New York USA and email is rahim@gmail.com,1
5,My name is David Miller and my phone number is 01712345678,1
6,Contact me at rahim@gmail.com,1
7,I live at Chittagong Bangladesh,0
8,My NID number is 1234567890,1
9,amar nam Rahim Ahmed amar phone 01712345678,1
10,David Miller lives in Chittagong Bangladesh and email is john@yahoo.com,1
11,My NID number is 1234567890,1
12,amar nam Nusrat Jahan amar phone 01955667788,1
13,My name is Nusrat Jahan and my phone number is 01712345678,1
14,John Smith lives in Dhaka Bangladesh and email is rahim@gmail.com,1
15,I live at Dhaka Bangladesh,0
16,amar email holo john@yahoo.com,1
17,My NID number is 1234567890,1
18,amar email holo john@yahoo.com,1
19,My name is Nusrat Jahan and my phone number is 01898765432,1
20,John Smith lives in Chittagong Bangladesh and email is rahim@gmail.com,1
21,amar email holo david@gmail.com,1
22,I live at New York USA,0
23,I live at Chittagong Bangladesh,0
24,I live at Dhaka Bangladesh,0
25,Karim Hasan lives in Dhaka Bangladesh and email is david@gmail.com,1
26,I live at Dhaka Bangladesh,0
27,Contact me at david@gmail.com,1
28,I live at Dhaka Bangladesh,0
29,Contact me at john@yahoo.com,1
30,Contact me at rahim@gmail.com,1
31,Contact me at david@gmail.com,1
32,David Miller lives in Dhaka Bangladesh and email is david@gmail.com,1
33,amar nam Karim Hasan amar phone 01955667788,1
34,amar email holo john@yahoo.com,1
35,My name is Nusrat Jahan and my phone number is 01712345678,1
36,amar email holo rahim@gmail.com,1
37,amar email holo david@gmail.com,1
38,My name is Karim Hasan and my phone number is 01898765432,1
39,Karim Hasan lives in Dhaka Bangladesh and email is rahim@gmail.com,1
40,My NID number is 9876543210,1
41,My name is John Smith and my phone number is 01712345678,1
42,My name is David Miller and my phone number is 01712345678,1
43,My NID number is 9876543210,1
44,John Smith lives in Chittagong Bangladesh and email is john@yahoo.com,1
45,amar email holo rahim@gmail.com,1
46,amar email holo john@yahoo.com,1
47,David Miller lives in New York USA and email is john@yahoo.com,1
48,amar email holo rahim@gmail.com,1
49,My NID number is 1234567890,1
50,amar email holo david@gmail.com,1
51,Nusrat Jahan lives in Dhaka Bangladesh and email is rahim@gmail.com,1
52,ami thaki Chittagong Bangladesh,0
53,Contact me at rahim@gmail.com,1
54,David Miller lives in Chittagong Bangladesh and email is rahim@gmail.com,1
55,amar email holo rahim@gmail.com,1
56,amar nam John Smith amar phone 01898765432,1
57,I live at Chittagong Bangladesh,0
58,Contact me at rahim@gmail.com,1
59,Nusrat Jahan lives in Dhaka Bangladesh and email is john@yahoo.com,1
60,My NID number is 9876543210,1
61,amar nam Nusrat Jahan amar phone 01898765432,1
62,amar email holo rahim@gmail.com,1
63,My NID number is 9876543210,1
64,amar nam David Miller amar phone 01955667788,1
65,amar email holo john@yahoo.com,1
66,ami thaki Dhaka Bangladesh,0
67,My name is John Smith and my phone number is 01898765432,1
68,amar email holo david@gmail.com,1
69,I live at New York USA,0
70,amar email holo rahim@gmail.com,1
71,My name is John Smith and my phone number is 01898765432,1
72,Contact me at david@gmail.com,1
73,Nusrat Jahan lives in Chittagong Bangladesh and email is john@yahoo.com,1
74,My name is David Miller and my phone number is 01898765432,1
75,My name is John Smith and my phone number is 01898765432,1
76,Contact me at david@gmail.com,1
77,Contact me at john@yahoo.com,1
78,David Miller lives in Chittagong Bangladesh and email is john@yahoo.com,1
79,amar nam Nusrat Jahan amar phone 01898765432,1
80,amar email holo rahim@gmail.com,1
81,amar email holo rahim@gmail.com,1
82,amar email holo rahim@gmail.com,1
83,amar nam John Smith amar phone 01955667788,1
84,ami thaki New York USA,0
85,I live at Dhaka Bangladesh,0
86,My NID number is 1234567890,1
87,Contact me at john@yahoo.com,1
88,I live at Dhaka Bangladesh,0
89,amar email holo rahim@gmail.com,1
90,Rahim Ahmed lives in New York USA and email is john@yahoo.com,1
91,I live at New York USA,0
92,amar email holo rahim@gmail.com,1
93,Rahim Ahmed lives in Chittagong Bangladesh and email is david@gmail.com,1
94,amar nam Karim Hasan amar phone 01955667788,1
95,ami thaki New York USA,0
96,amar nam Rahim Ahmed amar phone 01898765432,1
97,Contact me at john@yahoo.com,1
